"species";"result";"ViltID";"Ankomstdatum";"coords.x1";"coords.x2"
"Nötskrika";"0";"VLT 155/17";"2017-01-18";"15.8652687418347";"58.3000199680091"
"Knölsvan";"1";"VLT 314/17";"2017-02-06";"18.0963065359023";"59.3254341002643"
"Skrattmås";"1";"VLT 889/17";"2017-02-14";"13.1169230566529";"55.54637526237"
"Havsörn";"0";"VLT 1180/17";"2017-03-17";"16.4013482583267";"58.4596356063437"
"Kattuggla";"0";"VLT 1274/17";"2017-03-30";"17.6784309163984";"59.848085583918"
"Havsörn";"0";"VLT 1850/17";"2017-06-30";"19.0689179848767";"68.3437106983923"
"Grönfink";"0";"VLT 2481/17";"2017-09-20";"22.7049808967358";"66.0617256858798"
"Gräsand";"0";"VLT 2588/17";"2017-09-28";"12.6526965607469";"58.2839833490905"
"Stadsduva";"0";"VLT 3005/17";"2017-11-24";"18.563091789962";"57.6437156849902"
"Kungsörn";"0";"VLT 85/18";"2018-01-22";"16.1179191857686";"60.0506283590144"
"Havsörn";"1";"VLT 925/18";"2018-05-09";"16.5266120041139";"57.0340134481139"
"Ormvråk";"0";"VLT 1564/18";"2018-08-29";"18.4081537956026";"60.2335054778755"
"Gräsand";"0";"VLT 2046/18";"2018-10-10";"12.9917013238896";"55.5909076610504"
"Lappuggla";"0";"VLT 2292/18";"2018-11-08";"16.6413757581148";"64.6324811868131"
"Lappuggla";"0";"VLT 2387/18";"2018-11-20";"14.601860986442";"61.049697216308"
"Skata";"0";"VLT 972/19";"2019-05-22";"13.3884264876799";"57.9542855526201"
"Tornfalk";"0";"VLT 967/19";"2019-05-22";"15.4050688254393";"60.4733154233124"
"Skata";"0";"VLT 1265/17";"2017-03-28";"16.6712609974595";"56.6234972048029"
"Fiskgjuse";"0";"VLT 1966/17";"2017-07-25";"14.0722157977187";"55.8134910980267"
"Slaguggla";"0";"VLT 237/17, Vikt inkl. ekorre";"2017-01-25";"18.6610497938522";"64.6474068338205"
"Sångsvan";"0";"VLT 325/17";"2017-02-07";"13.1105024221055";"55.7962080059771"
"Knölsvan";"0";"VLT 881/17";"2017-02-14";"18.7934412150357";"59.5910905043201"
